name,image,price,category,stock
2 מטליות מיקרופייבר,7290018929322.jpg,20,hadpaami,1
20 יח כוסות בועות מנייר,7290014500587.jpg,10,hadpaami,1
20 כוסות בועות מנייר,7290014500563.jpg,10,hadpaami,1
20 כוסות שוט / קינוחים 2OZ,7290113923935.jpg,10,hadpaami,1
20 כוססות פוקסיה,7290115956627.jpg,10,hadpaami,1
20 מאפינס זהב קוטר 6 סמ,7290112172983.jpg,10,hadpaami,1
20 מטליות מיקרו פייבר,7290020173010.jpg,11,hadpaami,1
20 נרות שולחן,7290004255558.jpg,4,hadpaami,1
24 אביזרים משלימים,6928325126509.jpg,5,hadpaami,1
24 אביזרים משלימים,6928325115787.jpg,5,hadpaami,1
24 אביזרים משלימים,6928325123300.jpg,5,hadpaami,1
25 יחידות צלחות מרק,7290112482273.jpg,5,hadpaami,1
25 יחידות צלחות פאלאס,7290112482259.jpg,7,hadpaami,1
25 יחידות שיפודים הנמל,835811009238.jpg,7,hadpaami,1
25 לפתניות 9 OZ -קנה סוכר,7290113921085.jpg,10,hadpaami,1
25 צלחות איכותיות,7290019039082.jpg,4,hadpaami,1
25 צלחות קטנות פאלאס,7290112482242.jpg,5,hadpaami,1
25 צלחת עגולה גודל 7 - קנה סוכר,7290113920705.jpg,8,hadpaami,1
25 קערות לפתן,7290112482280.jpg,2,hadpaami,1
25 קערות פאלאס,7290112482297.jpg,4,hadpaami,1
25 שקיות צלופן,6923538203801.jpg,5,hadpaami,1
25 שקיות צלופן,6923538203665.jpg,5,hadpaami,1
"25 שקיות צלופן
15*38",6923538203788.jpg,6,hadpaami,1
"25 שקיות צלופן
17*45",6923538204372.jpg,6,hadpaami,1
"25 שקיות צלופן
20*40",6923538203689.jpg,7,hadpaami,1
"25 שקיות צלופן
20x‏50",6923538203894.jpg,8,hadpaami,1
"25 שקיות צלופן
25*35",6923538203757.jpg,8,hadpaami,1
"25 שקיות צלופן
30*40",6923538203719.jpg,10,hadpaami,1
3 בצי קינדר הלו קיטי,7290112704030.jpg,16,hadpaami,1
3 יח כריות קרצוף לניקוי יסודי ללא שריטות,7290019627791.jpg,10,hadpaami,1
"3 יח ספוג לניקוי, קרצוף והסרת לכלוך קשה",7290017682525.jpg,7,hadpaami,1
3 יחי מגשי קרטון,6923538219437.jpg,7,hadpaami,1
3 יחידות מגשי קרטון,6923538219475.jpg,8,hadpaami,1
3 מגשי קרטון מלבני,6923538233341.jpg,9,hadpaami,1
3 מטליות מיקרופייבר לניגוב       ושטיפת רצפות,7290010711901.jpg,14,hadpaami,1
3 מטליות רצפה,7290000599434.jpg,8,hadpaami,1
3 תבניות נייר לאפיה,4891459618030.jpg,9,hadpaami,1
4 כריות מתכת לניקוי יסודי,7290010711123.jpg,7,hadpaami,1
4 מגשי אירוח פלוס מכסה,6923538236113.jpg,15,hadpaami,1
4 מגשי אירוח פלוס מכסה,6923538236090.jpg,15,hadpaami,1
4 תבניות נייר לאפיה,4891459618047.jpg,9,hadpaami,1
"יח כוסות‎ 40
happy",7290014274334.jpg,6,hadpaami,1
40 כוסות יהלום חזקות במיוחד,7290019039389.jpg,6,hadpaami,1
40 כוסות מהודרות,7290115730937.jpg,8,hadpaami,1
40 עטרות קרטון,6928325155738.jpg,8,hadpaami,1
5 מגשי אירוח פלוס מכסה,6923538236076.jpg,9,hadpaami,1
5 מגשי אירוח פלוס מכסה,6923538236083.jpg,11,hadpaami,1
5 תבניות אפיה,4891459618054.jpg,9,hadpaami,1
50 יח כוסות לשתייה חמה,7290016429893.jpg,4,hadpaami,1
50 יח כפות מנורה,7290004255978.jpg,5,hadpaami,1
50 כוסות נייר,7296073642817.jpg,4,hadpaami,1
50 כוסות נייר גודל 16oz,7290113923614.jpg,14,hadpaami,1
"50 מכסים לכוסות
יין 3OZ",7290014500532.jpg,7,hadpaami,1
50 נרות,7290018929858.jpg,7,hadpaami,1
50 עטרות קרטון,6928325187890.jpg,10,hadpaami,1
50 עטרות קרטון,6928325160381.jpg,10,hadpaami,1
50 עטרות קרטון,6928325150160.jpg,10,hadpaami,1
50 שקיות אשפה נשלפות 52*65,7290006377715.jpg,13,hadpaami,1
6 בקבוקי פלסטיק פקק מתכת חבילה,6923538232894.jpg,6,hadpaami,1
6 גביעי קינוחים,6923538204815.jpg,11,hadpaami,1
6 גלילי מגבות נייר,7290103704155.jpg,13,hadpaami,1
6 יחידות קערות,7290118636656.jpg,8,hadpaami,1
6 כוסות מהודרות כסף,7290110282844.jpg,12,hadpaami,1
6 כוסות מהודרות שקוף,7290110284312.jpg,12,hadpaami,1
6 כלי פלסטי זהב פלוס מכסה בצורת תפוח,6923538237141.jpg,9,hadpaami,1
6 מפות שולחן לאירוח,7290018213766.jpg,7,hadpaami,1
6 נרות שולחן,7290002128410.jpg,4,hadpaami,1
6 קופסאות עם מכסה,6923538238421.jpg,8,hadpaami,1
6 קערות קראפט עם מכסה,7290118439820.jpg,10,hadpaami,1
"60 יח שקיות אשפה עם שרוך
52*65",7290104852305.jpg,12,hadpaami,1
6יחידות מנשפים,7290120660519.jpg,10,hadpaami,1
8 כוסות מהודרות זהב,7290110288396.jpg,12,hadpaami,1
8 כוסות מהודרות כסף,7290110288389.jpg,12,hadpaami,1
8 מפות נילון חתוכות,7290115730531.jpg,7,hadpaami,1
אא מנקה מרכך ומחדש עור,5020144500094.jpg,55,hadpaami,1
אביזר לחינה,6923538234836.jpg,34,hadpaami,1
אביזרי חמסה,6928325174074.jpg,16,hadpaami,1
אביזרי חמסה,6923538212322.jpg,7,hadpaami,1
אטבי כביסה 50 יח,7290016387841.jpg,11,hadpaami,1
אטבים 50 יח,C13266881022000[.jpg,10,hadpaami,1
אינגליש נייר קטן אר 5,7290002970446.jpg,7,hadpaami,1
אל סבון נוזלי,7290015251174.jpg,14,hadpaami,1
אל סבון נוזלי,7290015251198.jpg,14,hadpaami,1
אל סבון נוזלי,7290015251181.jpg,14,hadpaami,1
אל סבון נוזלי,7290015251204.jpg,14,hadpaami,1
אלומיניום זהב,6923538232757.jpg,8,hadpaami,1
אנטי פריז אדום,7290015102810.jpg,33,hadpaami,1
אנטי פריז ירוק,7290015102803.jpg,33,hadpaami,1
אקדח ניטים,6946546646453.jpg,35,hadpaami,1
אקונומיקה,7290001245712.jpg,12,hadpaami,1
אקונומיקה מבושמת,7290019014782.jpg,15,hadpaami,1
ארגז איחסון 18 l,7290008449274.jpg,28,hadpaami,1
אשפתון בגליל עם שרוך,7290005033414.jpg,11,hadpaami,1
באנר אותיות מטאלי,7290120098954.jpg,11,hadpaami,1
באנר אותיות מטאלי,7290120099005.jpg,11,hadpaami,1
